source_id,authority,title,url,used_for,limitations
WEB-001,OFFICIAL,Bandai Namco Digimon Championship product page,https://digimon-gameportal.bn-ent.net/product/ds_digimon03/,Official identity and high-level feature framing,Content is image-heavy and sparse
WEB-002,OFFICIAL,Bandai Namco gameplay introduction,https://digimon-gameportal.bn-ent.net/product/ds_digimon03/game1.html,Capture raising and team-battle sections,Most details are embedded in images
WEB-003,OFFICIAL,Bandai Namco Championship page,https://digimon-gameportal.bn-ent.net/product/ds_digimon03/cs1.html,Four-year Championship Titles and rivals,Most details are embedded in images
WEB-004,CONTEMPORARY_PRESS,GameSpot First Look,https://www.gamespot.com/articles/digimon-world-championship-first-look/1100-6189379/,Core loop Hunt equipment training auto battle Title and Free Battle multiplayer,Preview may differ from final retail behavior
WEB-005,COMMUNITY_CATALOG,Wikimon Digimon Championship Guide,https://wikimon.net/Digimon_Championship_Guide,Creature/evolution/location catalog and 16 Hunt locations,Community maintained; cross-check against ROM
WEB-006,COMMUNITY_GUIDE,Japanese Digimon Championship guide,https://nhoko.xxxxxxxx.jp/r-champ.html,Calendar cage Hunt and Battle player-visible flow,Editorial commentary; numeric claims need ROM proof
WEB-007,COMMUNITY_GUIDE,GameFAQs FAQ v1.7,https://gamefaqs.gamespot.com/boards/943756-digimon-world-championship/45325515,Daily flow evolution care nature cages strategies and battle modes,Contains explicitly unconfirmed player research
WEB-008,OFFICIAL_PLATFORM,Nintendo Wi-Fi Connection discontinuation,https://en-americas-support.nintendo.com/app/answers/detail/a_id/6026/p/50/c/120,Proves original DS online service cannot be reused,Does not define a replacement web service
WEB-009,OFFICIAL_LEGAL,Taiwan TIPO idea/expression Q&A,https://www.tipo.gov.tw/tw/copyright/773-4961.html,Confirms copyright protects expression rather than ideas systems procedures or methods,Taiwan guidance; individual disputes remain fact-specific
WEB-010,OFFICIAL_LEGAL,Taiwan TIPO game-rules interpretation,https://www.tipo.gov.tw/tw/copyright/692-15175.html,Explains game rules may be independently expressed without copying protected expression,Taiwan guidance; not a product-specific clearance opinion
WEB-011,OFFICIAL_LEGAL,Taiwan TIPO mobile-game character interpretation,https://www.tipo.gov.tw/tw/copyright/692-17063.html,Confirms original character art may be protected and screenshots can implicate reproduction/public transmission,Taiwan guidance; exceptions and ownership are case-specific
WEB-012,OFFICIAL_LEGAL,US Copyright Office Games,https://www.copyright.gov/register/tx-games.html,Distinguishes game ideas/methods from copyrightable text and pictorial expression,United States guidance; other jurisdictions may differ
WEB-013,OFFICIAL_LEGAL,USPTO likelihood of confusion,https://www.uspto.gov/trademarks/search/likelihood-confusion,Requires clearance beyond exact spelling because sound appearance meaning and commercial impression matter,United States trademark guidance; perform searches in each release market
WEB-014,OFFICIAL_LEGAL,WIPO Video Games copyright overview,https://www.wipo.int/en/web/copyright/activities/video_games,Explains games combine software and audiovisual works that may each be protected,High-level international overview rather than jurisdiction-specific advice
