"id","targetSeconds","actualSeconds","displayTimeApprox","label","evidence","observed","interpretation","unknown","sourceUrl","localPath","sha256"
"B2-01","15","16.042864","00:17","作者製作的流程圖","EDITORIAL_OBSERVED","畫面以三個方框說明遊戲前、中、後期。","此處是攻略作者的分類。","不能當成原作存在三個階段分頁或強制任務清單。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=15","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t015.png","ad77642468877935d414ab5e322320c56d13ca7d6c26b615e7233c540b84f1ca"
"B2-02","45","46.463947","00:47","Tamer Info","VIDEO_OBSERVED","名字、Green、Funds、Play Time、Training Lic.、Max Capacity、Cage Space 並列；Rookie 被作者紅圈標記。","玩家資料、養成牌照及空間資源分別呈現。","紅圈屬作者加註；各項變更規則未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=45","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t045.png","1ebd2a07030d6f64a48380a5ca899a4a68efc4ce49c021041c95a2ce655b958f"
"B2-03","60","61.47572","01:02","牌照升級","VIDEO_OBSERVED","Bronze Tamer 與訓練牌照升級、可以進化到 Ultimate 的訊息。","進化階段上限與牌照相關。","各階升級條件未驗證；英文 Ultimate 不可誤譯成 Mega。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=60","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t060.png","7cf0989a6d67e35a31daa75d0a703b8095bce5a14e48fb0e263648b531294a5b"
"B2-04","90","91.081147","01:32","Small Challenger","VIDEO_OBSERVED","原作賽事介紹顯示 1 對 1 與入場費；旁邊另有作者條件表。","參賽前顯示比賽形式及費用。","作者整理欄位不是原作 UI。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=90","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t090.png","d0810eb202e2f517be98fce1168aad03e6d0627606cce973ed10a4be212fb263"
"B2-05","180","180.946444","03:01","獎章結果","VIDEO_OBSERVED","Insect Royale 獎章取得的結果畫面。","賽事有可見的獎章回饋。","作者所述獎章總需求未由此一影格證明。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=180","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t180.png","d9162a8054ebb4ed84c145480216b5f98635c1b9a41399c071f16812a2b91f62"
"B2-06","240","241.33624","04:02","Large Fighter 非對稱隊伍","VIDEO_OBSERVED","戰鬥總覽左方三隻、右方一隻；倒數 120；下方是戰鬥現場。","戰鬥呈現需容納雙方不同隊伍人數。","右側大幅角色插圖屬剪輯；不能推定任意人數均合法。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=240","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t240.png","9c60a8ea59a19a02b94bff0e58459db1e64d02b0a514b3c73ad7914ac8492961"
"B2-07","250","251.313289","04:12","季節與賽事清單","VIDEO_OBSERVED","两組原作畫面左右並排，分別為 Seas of Emeralds 與 Metal Emperor；可見季節分頁、列表及上方限制。","選中賽事與其詳情連動；有 Vegetation 與 Machine 類別限制。","左右並排來自作者編輯；各圖示計數語意未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=250","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t250.png","468b0d5b85ab1ee506d238a6316e5b4b866583c3ffdcfc65bf0d43cdc67aebac"
"B2-08","263","264.405333","04:25","日文實機畫面","VIDEO_OBSERVED","片中轉為拍攝日文掌機螢幕。","本片混用語言與拍攝形式。","不能以同一英文版連續存檔解讀全片。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=263","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t263.png","d584690f42651ee37d12fec649ccf40d5850bd6b9588f332ae03f3cae765b8a0"
"B2-09","267","268.56138","04:29","沙漠套繩","VIDEO_OBSERVED","白綠色分段繩索軌跡圍繞目標，底部第二格繩索高亮。","工具在世界中繪製繩索路徑。","圈線閉合容差、方向、圈數、命中演算法未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=267","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t267.png","6c2338dc4d84eeeed6e677d13d98578fb251c42e083e6d97b10ef7507a18dc06"
"B2-10","268","269.697934","04:30","沙漠 Pull","VIDEO_OBSERVED","站立目標上方有 Pull! 與綠條，繩索工具仍高亮。","捕捉已進入拉繩提示階段。","綠條所代表的內部量未驗證。","https://www.bilibili.com/video/BV1RQ4y1B7up/?t=268","R:/Projects/Championship2026/_archive/video-research/BV1RQ4y1B7up/frames/t268.png","103eafece8c65ed63f1188e3f21f3750f7a5f41dd2c8bff1da24b2426f5d3cca"
