id,owner,severity,state,summary,detail,unblockedBy
CX-RAISING-NATIVE-CONTINUATION-20260908,shared,HIGH,PARTIALLY_CLOSED,Original opening book and Feeding now work,"Native ground and physical slots; actor entry RNG/spawn/repair; Feed/Protein placement/stock/approach/bites; Clean; valid hand-drop membership; same v5 Save/Continue complete within RAISING_NATIVE_FEEDING.v1. Full1326 pass. Full Raising AI/training/treatment and adult lifecycle remain open.",Trace and implement full peer/environment/training and remaining actor-state callers without treating bounded feeding as full Raising parity.
CX-PAGES-PREFLIGHT-CONTINUATION-20260908,shared,HIGH,GUARD_FIXED_PUBLIC_BUILD_BLOCKED,Pages now refuses broken input before replacement,"Required input and static ESM closure preflight now precede output replacement. Deleted tracked entities.r1.json still blocks public build; private imports remain excluded. No public build PASS or deployment claimed.",Resolve intended public inputs and approved distributable dependency graph without bypassing the private asset boundary.
MIGRATION-001,codex,HIGH,RESOLVED,Standalone repository migration closed,"VS1 passed 19 deterministic tests, five viewports, real reload/continue/restore, namespace/dependency scan, and asset firewall.",STOP for Owner review; do not begin VS2.
CL-001,claude,HIGH,RESOLVED,Runtime reconstruction now has a local recovery checkpoint,"Checkpoint root d7a66b1 (parent 86524ca); current verified HEAD b2a46cd after a1b74f4/b2a46cd. Worktree clean. M1-M9.1, FULL_1720, Phase 1 standalone, and Raising corrections are recoverable.",Local checkpoint created; branch remains unpushed and unmerged.
CL-002,claude,MEDIUM,PARTIALLY_CLOSED,Toolbar slot ordering and submenu storage closed; command/icon bindings remain open,"ROM_VERIFIED: slot N maps to buttonN left-to-right; every slot has up to eight submenu entries with pointers at +0xE64 (slot stride 0x20) and counts at +0xF64. UNKNOWN: command binding, icon cell, submenu population, enable mask and slot 7 identity.",Further trace requires a new Owner authorization; preserve current unknowns.
CL-003,shared,MEDIUM,OPEN,Care action semantics and growth remain incomplete,"2026-09-08: captured native individual fields now persist, but ground-food approach/eating and exact care/training/health/evolution/lifetime writers are not integrated. Native profile storage does not close this gap.",Trace OVL18 from one controlled original ground-feeding action through item and individual writes; existing two-stage authorization applies.
CL-004,claude,MEDIUM,OPEN,Cage system semantics unknown,"36 CageDefinitions, cage level-up and a Tamer-rank cap are ROM_VERIFIED. Capacity rules, cage effects and relocation consequences are not.",OVL15/OVL18 handler trace.
CL-005,claude,LOW,RESOLVED_BY_OWNER_POLICY,Phase 2 renderer authority resolved by Owner policy,"DOM owns application/screen UI; PixiJS owns playable 2D fields, actors, sprites and 2D VFX; Three.js is bounded to verified or explicitly approved 3D. ALL_DOM/ALL_PIXI/ALL_THREE, a second renderer authority, second ticker and second router are forbidden.",Policy resolved; implementation needs a separate bounded Owner gate.
CL-006,claude,LOW,ACCEPTED,Three expected test conditions,"Current baseline is 471 pass / 3 expected / 0 unexpected. The third expected R2 protected-path condition appeared when checkpointing made tools/reverse/ydi/** tracked; declared SUPERSEDED_ON_THIS_BRANCH, additive, and not an unexpected runtime regression.",n/a
CL-007,shared,HIGH,MITIGATED,Concurrent first-sync overwrite hardened by single-writer protocol,"Claude wrote no shared file in SYNC-2. Codex merged both owned deltas by stable ID with conflict rejection, base-hash recheck, validated temporary outputs, and atomic replacement.",Durable single-writer protocol; no last-writer-wins.
CL-008,claude,LOW,ACCEPTED_COSMETIC,Checkpoint commit subject prefix is accepted cosmetic,"d7a66b1, a1b74f4 and b2a46cd retain the cosmetic @ prefix. Owner forbids rebase/reset/amend/history rewrite now; 2632ddf is clean.",No action now.
CL-009,claude,LOW,ACCEPTED_IN_LOCAL_RECOVERY_CHECKPOINT,Forensic branch retains approximately 35 MB reproducible staging,Preserve the recovery checkpoint and do not rewrite/delete now. Do not push the current forensic branch as-is; create a clean integration path excluding reproducible staging before push/PR.,Owner-authorized clean integration path before push/PR.
CX-001,codex,LOW,RESOLVED,Codex art status published,CODEX_ART_STATUS.json exists (SYNC_COMPLETE_STOPPED_FOR_OWNER_REVIEW). Claude did not author it.,n/a
CX-002,codex,HIGH,RESOLVED,O3-D Battle Owner verdict and checkpoint complete,"Owner approved the 11-field static archive; isolated local checkpoint 9d33b9e. No push, merge, deploy, runtime integration, Registry shipping promotion, or P2 content entered the commit.",Owner verdict and scoped local checkpoint.
CX-003,codex,MEDIUM,RESOLVED_TARGETED_TRACE,BM03/BM04 Battle animated-layer placement and timing closed,"Verified BSAR hashes and structure establish full-field placement, two frames, 50/20 raw-tick durations and animation-bed-first composition; original-created three-layer review bundles pass 20/20 Chromium frame/viewport checks without gameplay-semantic or promotion claims.",Owner visual approval license evidence and BM04 object-layer separation remain promotion gates.
CX-004,codex,MEDIUM,CLOSED,CM12/CM18 object linkage conflicts resolved,"OPMD lower-14 values are NANR sequence IDs, not direct NCER cell IDs; all 38 object banks validate and CM12/CM18 now resolve without clamping or guessing.",Preserve OPMD→NANR→NCER binding in future runtime implementation.
CX-005,shared,MEDIUM,OPEN,Creature animation semantic names blocked at RAW_SLOT_XX,Codex owns frame art/raw provenance; gameplay/action meaning requires Claude runtime evidence. Production names remain neutral.,Claude publishes a verified CreatureAnimationSemanticMap.
CX-006,codex,LOW,SUPERSEDED_FROZEN,Legacy P3-P6 art roadmap superseded for Championship 2026,"P2/P2R remains a retained proof. Legacy P3-P6 is preserved as history but no longer controls the current product roadmap; production completion is planned under VS7 and is not authorized by this reset.",Explicit Owner authorization for a bounded VS7 production batch.
CL-010,claude,HIGH,RESOLVED_OWNER_APPROVED_BASELINE,INT-RH2 runtime presentation producer and Pixi field approved,"Runtime checkpoint 2671db12 and presentation checkpoint bb61d18 establish the Owner-approved integration baseline without a second gameplay/save/ticker/router authority.",n/a
CL-011,shared,HIGH,SUPERSEDED_BY_LATER_OWNER_DIRECTION,Historical VS2 start gate no longer blocks current implementation,"Later Owner directions explicitly authorized normal Hunt and the 2026-09-08 two-stage audit continuation. The old no-VS2 statement is historical; push/merge/deploy remain separately unauthorized.",Continue the current two-stage work without repeated start permission.
CL-012,shared,LOW,PARTIALLY_RECONCILED,Current documentation reconciled while older receipts remain historical,"2026-09-08 README/Architecture/Status and Gate/capture/profile/save contracts now describe multiple integrated slices and remaining gaps. Historical checkpoint counts and owners do not assert current completion.",Use current two-stage report and exact evidence; preserve unrelated shared edits.
CX-007,codex,MEDIUM,OPEN_PRODUCTION,INT-RH2 environment and resident visuals remain temporary,"The current habitat is TECHNICAL_TEMPORARY_FIELD_PRESENTATION and current creatures are TEMPORARY_PRESENTATION_ASSETS. This does not invalidate INT-RH2, but neither is final production art.",Separate Owner authorization for final Raising/Hunt environment and production creature art.
CX-R3-HUNT-001,shared,HIGH,OPEN_HUNT_VISUAL_TOUCH_DEVICE_ACCEPTANCE,Hunt core is bound but full playable acceptance remains incomplete,"Normal unaccompanied capture-to-Home/save/Continue and all 34 consumable input/stock/AI/exit paths pass; all 46 equipment entries available. Four scatter response bytes use the Owner-approved ordinary Shot species correction. Regression206/206; original tool VFX/audio and browser full-touch/device capture remain open. This does not promote the separate carried-entry or wild AI7 branches. See docs/research/HUNT_CORE_TWO_STAGE_IMPLEMENTATION_2026-09-08.md.",Complete tool presentation and normal touch/device acceptance within the existing second stage; preserve passed generation and save authorities.
CX-BATTLE-R13,codex,MEDIUM,PARTIALLY_CLOSED,All executable move resources and scripts connected; exact original acceptance remains partial,"R13: 595x4 controlled cases, 90 new ARM cases, 1253 tests. Three-member KO slowdown caller context, ending-camera and all-move normal visual/device acceptance remain open.",Trace 0211272C index3 actual caller; preserve existing all-bank/source binding; see battle-presentation-r13 report.
CX-AUDIT-GATE-20260908,shared,HIGH,BOUNDED_IMPLEMENTATION_CLOSED,Gate fees and known unlock conditions bound,"158 fee /95 unlock /17 initial CPU cases; normal app wallet/RNG failure and reentry guards; observed ordinary wins persist. Natural rank and waiver acquisition remain outside this closure.",Preserve the single wallet and existing progression/save; see GATE_ADMISSION_AND_INDIVIDUAL_RETURN_2026-09-08.md.
CX-AUDIT-INDIVIDUAL-20260908,shared,HIGH,PARTIALLY_CLOSED,Native captured profiles and return writer now persist,"684 CPU Home copies; normal API capture/return/Home/Save/Continue and16-member save boundary pass. Starter/legacy missing profiles remain unknown; care/growth and own-party ENTRY/eligibility/writeback still open.",Trace original OVL18 writers and actual ENTRY party record before consumer integration.
CX-AUDIT-PAGES-20260908,shared,HIGH,OPEN_PUBLIC_BUILD_INPUT_AND_DEPENDENCY,Public build cannot be accepted from local runtime tests,"Tracked deleted entities.r1.json remains an input; tracked-only input selection omits current modules; private exclusions remove modules imported by the entry graph. No public build or deployment PASS is claimed.",Resolve the distributable entry graph with registered public content and an explicit reviewed input set; do not remove private exclusions to force PASS.
CX-AUDIT-TWO-STAGE-20260908,shared,HIGH,PARTIAL,Two-stage scope is not globally complete,"Current Gate/return/profile and validation/docs work is complete within stated boundaries. Native growth/party/progression; successful browser touch capture; complete art; long-run/context recovery; physical-device and public-delivery acceptance remain open.",Continue existing two-stage sequence using evidence; no new Owner approval is required for already-authorized implementation.
