feature_id,domain,original_feature,evidence_state,current_runtime_state,missing_data,fillability,next_action
FLOW-001,Core,Calendar 07:00-22:00 / 8 days per season / 4 seasons,WEB_CROSSCHECK_PENDING_BINARY,NOT_STARTED,Clock advancement seasonal modifiers autosave boundary,LIKELY_TRACE,Trace clock and day-end writers
FLOW-002,Core,Four-year Championship cadence,OFFICIAL_WEB_CROSSCHECK_AND_LOCAL_TABLES,NOT_STARTED,Qualification scheduling endurance and final writes,LIKELY_TRACE,Trace OVL8 progression and calendar gates
RAISE-001,Raising,Direct creature manipulation,VERIFIED,IMPLEMENTED,None for interaction grammar,DONE,Preserve Pointer Events contract
RAISE-002,Care,Feed clean treatment and protein,PARTIAL,REACTION_ONLY,Exact mutations consumption success failure,LIKELY_TRACE,Trace OVL18 care handlers
RAISE-003,Cage,36 CageDefinitions and 35 shop cages,ROM_VERIFIED,PARTIAL_TWO_PROTOTYPE_REGIONS,Capacity occupancy effects and relocation consequences,LIKELY_TRACE,Trace OVL15/OVL18 and build Cage catalog contract
RAISE-004,Cage,Cage levels capped by Tamer rank,ROM_VERIFIED,NOT_STARTED,Numeric scaling purchase/upgrade transaction,LIKELY_TRACE,Trace level readers and writers
RAISE-005,Status,HP TP Capacity Attack Defense Wisdom Speed family generation attribute personality,ROM_VERIFIED_STRUCTURE,NOT_STARTED,Durable field meanings ranges mutations and visibility,LIKELY_TRACE,Publish canonical CreatureState schema
EVO-001,Evolution,Branching evolution graph,STATIC_CATALOG_AVAILABLE,NOT_STARTED,Full edge conditions priority and tie rules,LIKELY_TRACE,Generate graph then trace resolver priority
EVO-002,Evolution,Time life history care penalties and egg reversion,WEB_CROSSCHECK_PENDING_BINARY,NOT_STARTED,Reset scope lifespan and prior-life selection,LIKELY_TRACE,Trace lifecycle/evolution handlers
HUNT-001,Gate,16 Hunt locations and biome identities,VERIFIED_BINARY,IMPLEMENTED_PARTIAL,Exact gate-to-field mapping unlock/fee writes,LIKELY_TRACE,Join location catalog to progression readers
HUNT-002,Loadout,Five equipment classes plus plugins,VERIFIED_BINARY,IMPLEMENTED,Per-Hunt carry limits and exact item effects,LIKELY_TRACE,Trace equipment consumption and effect dispatch
HUNT-003,Hunt,128x128 field exploration with inverse-delta camera panning and wild wander,ROM_AND_OWNER_VERIFIED_INPUT,PROTOTYPE_WRONG_AVATAR_MOVE,Original spawn distribution time weather AI semantics and parity camera state,LIKELY_TRACE,Replace moveTo pointer binding with clamped camera pan then trace HM data and wild state machine
HUNT-004,Capture,Rope circle pull and capture,VERIFIED_PLAYER_BEHAVIOR,NOT_STARTED,All tool branches tether thresholds result writes and failure states,LIKELY_TRACE,Build VS3 contract and emulator fixtures
HUNT-005,Result,Capture capacity release and Hunt result,PARTIAL,NOT_STARTED,Capacity formula inventory writes naming and rollback,LIKELY_TRACE,Trace result and PlayerData writers
SHOP-001,Shop,118 records across four categories,VERIFIED_BINARY,NOT_STARTED,Transaction write paths visibility transitions upgrade effects,LIKELY_TRACE,Implement catalog then atomic transaction tests
