"品項","類別","原生索引","正常入口可用","目前狀態","使用方法"
"基礎捕捉繩 α","ROPE","0","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"基礎捕捉繩 β","ROPE","1","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"基礎捕捉繩 γ","ROPE","2","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"強化捕捉繩 α","ROPE","3","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"強化捕捉繩 β","ROPE","4","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"強化捕捉繩 γ","ROPE","5","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"高階捕捉繩 α","ROPE","6","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"高階捕捉繩 β","ROPE","7","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"高階捕捉繩 γ","ROPE","8","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"頂級捕捉繩 α","ROPE","9","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"頂級捕捉繩 β","ROPE","10","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"頂級捕捉繩 γ","ROPE","11","true","NORMAL_INPUT_INTEGRATED","快速畫圈，放開後綑綁；再按住目標拉動，依距離控制拉力及耐久"
"普通射擊 α","SHOT","0","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"普通射擊 β","SHOT","1","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"連發射擊 α","SHOT","2","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"連發射擊 β","SHOT","3","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"睡眠射擊 α","SHOT","4","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"睡眠射擊 β","SHOT","5","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"麻痺射擊 α","SHOT","6","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"麻痺射擊 β","SHOT","7","true","NORMAL_INPUT_INTEGRATED","按住目標射擊；依原生冷卻、普通／睡眠／麻痺類型處理反應"
"散彈 α","SHOT","8","true","NORMAL_INPUT_INTEGRATED","按住射擊，每輪最多七發、消耗一份；命中反應值依核准修正使用普通射擊的物種值，麻痺型保留原作條件"
"散彈 β","SHOT","9","true","NORMAL_INPUT_INTEGRATED","按住射擊，每輪最多七發、消耗一份；命中反應值依核准修正使用普通射擊的物種值，麻痺型保留原作條件"
"麻痺散彈 α","SHOT","10","true","NORMAL_INPUT_INTEGRATED","按住射擊，每輪最多七發、消耗一份；命中反應值依核准修正使用普通射擊的物種值，麻痺型保留原作條件"
"麻痺散彈 β","SHOT","11","true","NORMAL_INPUT_INTEGRATED","按住射擊，每輪最多七發、消耗一份；命中反應值依核准修正使用普通射擊的物種值，麻痺型保留原作條件"
"阻擋鋼索 α","WIRE","0","true","NORMAL_INPUT_INTEGRATED","拖出線段，放開後完成；短線／無效位置不扣庫存；阻擋、磁力、電擊依品項"
"阻擋鋼索 β","WIRE","1","true","NORMAL_INPUT_INTEGRATED","拖出線段，放開後完成；短線／無效位置不扣庫存；阻擋、磁力、電擊依品項"
"磁力鋼索 α","WIRE","2","true","NORMAL_INPUT_INTEGRATED","拖出線段，放開後完成；短線／無效位置不扣庫存；阻擋、磁力、電擊依品項"
