work_id,phase,workstream,deliverable,depends_on,evidence_gate,completion_gate,estimate_weeks,parallelizable
GOV-001,R0,Governance,"Reconcile README, master sync, blocker ledger and VS2 status",,"Owner directive + current runtime",All four authorities agree,1,no
GOV-002,R0,Rights,"Adopt IP-neutral runtime and defer final original IP decision until functional completion",,"Owner directive 2026-08-29",Neutral IDs and research/production firewall recorded,1,no
DES-001,R0,Design,"Approve master production plan and 9:16 screen blueprint",GOV-001,"Owner review",Approved screen inventory and scope,1,no
DATA-001,R1,Data,"Freeze neutral stable IDs, evidence vocabulary and generated catalog contracts","GOV-001;GOV-002","Verified manifests",No product key depends on protected names and no research runtime import,2,no
DATA-CAGE-001,R1,Data,"Define versioned Cage board, module shapeMask, placement and Training-effect contracts",DATA-001,"Owner-confirmed modular Cage invariant + evidence taxonomy",Schemas validate shapes effects presentation keys and evidence state without using asset filenames as IDs,2,yes
CONTENT-NEUTRAL-001,R1,Content,"Create 16-24 original-neutral test species and modular placeholder kits",DATA-001,"Functional coverage matrix",All mechanics can be tested without protected characters or media,4,yes
ARCH-001,R1,Architecture,"Harden one action map and active-device prompt system",DES-001,"Existing one-state authority",Touch/mouse/keyboard/gamepad fixtures pass,2,yes
ARCH-002,R1,Architecture,"Version save schema and atomic migration/recovery",DATA-001,"Existing one-save authority",Migration/corruption/rollback tests pass,2,yes
ARCH-003,R1,Performance,"Add quality tiers and release-build perf HUD",DES-001,"Measured device profiles",High/Medium/Low policies selectable and measured,2,yes
UI-001,R1,UI,"Implement shared safe-area screen shell and focus stack",DES-001,"P1R production standard",All contract viewports and focus tests pass,3,yes
TRACE-RAISE-001,R2,Reverse engineering,"Close care handler mutations and consumption",DATA-001,"OVL15/OVL18 trace",Deterministic fixtures reproduce changes,3,yes
TRACE-RAISE-002,R2,Reverse engineering,"Close original Cage footprints orientation rules capacity and Training effects",DATA-CAGE-001,"OVL15/OVL18 + save diff + Owner-confirmed modular invariant",No guessed shape placement effect or numeric value remains in parity path,5,yes
TRACE-EVO-001,R2,Reverse engineering,"Close evolution conditions, priority, reset and egg reversion",TRACE-RAISE-001,"Binary trace + emulator fixtures",Resolver fixtures cover ties and history,5,no
GAME-RAISE-001,R2,Gameplay,"Implement complete Raising/calendar/condition domain",TRACE-RAISE-001,"Verified or neutral rules",Multi-day deterministic simulation passes,5,no
GAME-EVO-001,R2,Gameplay,"Implement evolution resolver and life history",TRACE-EVO-001,"Verified resolver contract",Save/reload and evolution fixtures pass,4,no
UI-RAISE-001,R2,UI,"Complete Raising Home, Detail and Training screens",GAME-RAISE-001,"9:16 blueprint",Touch and accessibility flows pass,4,yes
TRACE-HUNT-001,R3,Reverse engineering,"Close spawn selection and wild AI states",DATA-001,"OVL12 trace",Seeded spawn/AI fixtures pass,4,yes
TRACE-HUNT-002,R3,Reverse engineering,"Close Rope/Shot/Wire/Trap branches and capacity",DATA-001,"OVL12 trace",Equipment state machine fixtures pass,4,yes
GAME-CAPTURE-001,R3,Gameplay,"Implement canonical capture/tether state machine",TRACE-HUNT-002,"Capture golden contract",Pointer-path fixtures pass across DPR/viewports,4,no
GAME-HUNT-001,R3,Gameplay,"Implement Hunt Result atomic transaction",GAME-CAPTURE-001,"Verified result write graph",Return/save/reload fixtures pass,3,no
UI-HUNT-001,R3,UI,"Complete Capture overlay and Hunt Result",GAME-CAPTURE-001,"9:16 blueprint",Thumb/device/recovery QA passes,3,yes
ART-PILOT-001,R3,Prototype,"Prove skinnable content with one temporary original creature, biome, Hunt UI, VFX and audio","GOV-002;CONTENT-NEUTRAL-001","Original-neutral brief",Changing the manifest replaces the packet without gameplay-code edits,3,yes
GAME-SHOP-001,R4,Gameplay,"Implement 118-record Shop transaction domain",DATA-001,"Shop table + unlock trace",Availability/Bits/rollback golden tests pass,4,yes
GAME-DB-001,R4,Gameplay,"Implement seen/captured/owned Database state",DATA-001,"Collection trace",State separation and completion tests pass,3,yes
