shopRecordIndex,category,subcategory,itemIndex,name,purchaseDomain,price,initialOwned,unlock,itemId,shopImage,shopImageBinding,catalogIdentity,runtimeFamily,useAcceptance,nextCheck,browserPurchase,browserDescriptionPresent,browserSetup
0,TRAINING_GOODS,TRAINING_GOODS,0,飼料,INVENTORY,5,50,INITIAL_AVAILABLE,,assets/production/toolbar/licensed-runtime-v1/feed-rest.png,BOUND,VERIFIED_BINARY,CARE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"verify trigger, consume, save and original visual sequence",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
1,TRAINING_GOODS,TRAINING_GOODS,1,蛋白質,INVENTORY,300,10,INITIAL_AVAILABLE,,assets/production/toolbar/licensed-runtime-v1/protein-rest.png,BOUND,VERIFIED_BINARY,CARE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"verify trigger, consume, save and original visual sequence",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
2,TRAINING_GOODS,TRAINING_GOODS,3,傷藥,INVENTORY,20,10,INITIAL_AVAILABLE,,assets/production/toolbar/licensed-runtime-v1/woundMedicine-rest.png,BOUND,VERIFIED_BINARY,CARE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"verify trigger, consume, save and original visual sequence",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
3,TRAINING_GOODS,TRAINING_GOODS,2,藥品,INVENTORY,200,10,INITIAL_AVAILABLE,,assets/production/toolbar/licensed-runtime-v1/medicine-rest.png,BOUND,VERIFIED_BINARY,CARE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"verify trigger, consume, save and original visual sequence",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
4,HUNT_ITEMS,ROPE,0,基礎捕捉繩 α,INVENTORY,1000,1,INITIAL_AVAILABLE,championship:2026:hunt-item:rope-i,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",ALREADY_AT_CAP_CORRECTLY_DISABLED,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
5,HUNT_ITEMS,ROPE,1,基礎捕捉繩 β,INVENTORY,2500,0,INITIAL_AVAILABLE,championship:2026:hunt-item:rope-ii,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
6,HUNT_ITEMS,ROPE,2,基礎捕捉繩 γ,INVENTORY,5500,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:rope-iii,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
7,HUNT_ITEMS,ROPE,3,強化捕捉繩 α,INVENTORY,9000,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:rope-03,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
8,HUNT_ITEMS,ROPE,4,強化捕捉繩 β,INVENTORY,14000,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:rope-04,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
9,HUNT_ITEMS,ROPE,5,強化捕捉繩 γ,INVENTORY,18000,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:rope-05,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
10,HUNT_ITEMS,ROPE,6,高階捕捉繩 α,INVENTORY,20000,0,TAMER_RANK_THRESHOLD,championship:2026:hunt-item:rope-06,,GENERIC_TEXT_PLACEHOLDER,HIGH_CONFIDENCE,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
11,HUNT_ITEMS,ROPE,7,高階捕捉繩 β,INVENTORY,25000,0,BATTLE_BADGE_ID_0_BASED,championship:2026:hunt-item:rope-07,,GENERIC_TEXT_PLACEHOLDER,VERIFIED_BINARY,ROPE,PURCHASE_UI_CHECKED; EACH_ITEM_FIELD_USE_AND_SAVE_NOT_REVALIDATED,"bind original-backed item image, then verify trigger, consume and save",QUANTITY_AND_PRICE_PASS,True,EXISTING_QA_UNLOCK_ISOLATED_CONTEXT
