id,category,title,seekTargetSeconds,recordedMediaSeconds,sourceUrl,framePath,sha256,observationEvidence,observation,interpretationEvidence,interpretation
V01,啟動,標題與 LOGIN,10,10.441807,https://www.bilibili.com/video/BV13u411B7BK/?t=10,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t010.png,2be868d8590443bd995a3da25179f460ab1bf654a263f52a6f70983a31374fa3,VIDEO_OBSERVED,上螢幕為遊戲標誌，下螢幕 LOGIN 與球形世界圖。,ANALYSIS_OR_CROSSCHECK,LOGIN 是遊戲入口；不能據此推論需要網路帳號。
V02,飼育,選中角色與場景,23,23.58167,https://www.bilibili.com/video/BV13u411B7BK/?t=23,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t023.png,0c856abcee285b17b2c5221c423cc55a13914f9833e0640ac89fdd9989391e00,VIDEO_OBSERVED,角色像、HP/TP/AP/Capacity、物種與暱稱、小型場地概覽、訊息區和底部工具列同時存在。,ANALYSIS_OR_CROSSCHECK,畫面分成物件資料與可操作世界；9999/9999 不代表一般初始值。
V03,飼育,放置食物與訓練回饋,30,30.88064,https://www.bilibili.com/video/BV13u411B7BK/?t=30,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t030.png,7b9a41e12a37f56d74ae98666e6a46a109567d784b9ac41feec3b3e1667791f4,VIDEO_OBSERVED,場景中出現肉塊，Food remaining 遞減，跑道區出現 HP UP。,ANALYSIS_OR_CROSSCHECK,物品放置與環境訓練是不同因果來源，不能把所有變動都歸因於食物。
V04,飼育,角色移動與多場地,38,38.267524,https://www.bilibili.com/video/BV13u411B7BK/?t=38,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t038.png,b104fd7ba3d8a894aa5a01925ac5906c19dbbd87e0353085d90bfb1f3c87e620,VIDEO_OBSERVED,Salamon 資料、不同場地接邊、場內游標／接觸標記及角色狀態條。,ANALYSIS_OR_CROSSCHECK,可操作的是角色與環境；場地不是每次只顯示一張孤立背景。
V05,狩獵,球形地區選擇,45,45.458062,https://www.bilibili.com/video/BV13u411B7BK/?t=45,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t045.png,b3327b7707776bed7cb7133b84f313c7bf4300106bd01f2c5567f76bae42d935,VIDEO_OBSERVED,上方 Dina Plains 說明、入口費、Funds；下方球形地圖、地點標記、Settings／Return。,ANALYSIS_OR_CROSSCHECK,選地區和設定裝備是出發前的決策層。
V06,狩獵,瀏覽大地圖,52,51.541609,https://www.bilibili.com/video/BV13u411B7BK/?t=52,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t052.png,891fc13ab3408ae3d804dc7cec300e170b4c9e84ef40a988c7daad64823f7e3a,VIDEO_OBSERVED,下螢幕顯示路徑、草地和岩石；與 60 秒的場景取景不同，手形工具選中。,ANALYSIS_OR_CROSSCHECK,視野移動可與既有 ROM 拖曳追蹤交叉核對；影格本身不能還原完整輸入事件。
V07,狩獵,狩獵介面,60,60.729648,https://www.bilibili.com/video/BV13u411B7BK/?t=60,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t060.png,de8b626cd43e6505c8f42cd4c324f3b14044f938b7c25084f4ae073a2016cfd9,VIDEO_OBSERVED,上方雷達樣框、空白目標資料、四個槽與 Time 04:55；下方野生角色及工具列。,ANALYSIS_OR_CROSSCHECK,全域時鐘與此次狩獵倒數是兩個不同欄位。
V08,狩獵,畫線圈選,61,62.028629,https://www.bilibili.com/video/BV13u411B7BK/?t=61,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t061.png,9a78d35e968552e6151bc314d1c7dde9a05d4abda422817fe54aa7e36c051e3b,VIDEO_OBSERVED,接近 01:02 的畫面可見游標與青白色分段弧線圍向野生角色，繩索圖示高亮。,ANALYSIS_OR_CROSSCHECK,證明有空間手勢軌跡；閉合閾值與手勢判定公式未由影片證明。
V09,狩獵,拉繩階段,62,62.625588,https://www.bilibili.com/video/BV13u411B7BK/?t=62,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t062.png,4506c1e53010c251b235cd9937d6d849e49babdf085415c950451b16927ecd37,VIDEO_OBSERVED,兩個野生角色上方出現 Pull! 與綠條。,ANALYSIS_OR_CROSSCHECK,捕捉有需要持續操作的階段，不是點擊目標就立刻取得。
V10,狩獵,繩索與未知資訊,63,63.433553,https://www.bilibili.com/video/BV13u411B7BK/?t=63,R:/Projects/Championship2026/_archive/video-research/BV13u411B7BK/frames/t063.png,2806351c4988cf049661ba2fa09d1100d5aa145d8e5160883b52ae2ef9de6c9a,VIDEO_OBSERVED,場上出現紅色連線、Pull!；上方目標資料多為 ???。,ANALYSIS_OR_CROSSCHECK,遊戲刻意區分未知情報與已選目標，??? 不等於數值零。
